ID,CF_WSH,CF_SY,CF_SXQ,,,
300231,深卫医[2017]26号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-08,,,
300232,201704002B083102,对不按规定进行病历资料、处方或者其他医疗文书管理的不良执业行为进行检查,2018-10-25,,,
300233,深卫医[2016]18号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-20,,,
300234,201801001176,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-20,,,
300235,201705002169,对擅自改变医疗机构名称、类别、所有制形式、规模或者服务方式的不良执业行为进行检查,2018-03-16,,,
300236,201803002848,对疾病预防控制机构未依照规定建立并保存疫苗购进、分发、供应记录的行政处罚。,2018-09-05,,,
300237,201806B02270-01,对医疗机构使用不符合岗位所需的技术职务任职资格条件的卫生技术人员违法行为进行处罚,2018-09-14,,,
300238,201803002826-01,医疗机构其他未按照规定书写病历案,2018-09-14,,,
300239,深卫医[2018]86号,医疗机构实施特殊治疗时未取得患者或者其近亲属的书面同意案,2018-11-02,,,
300240,201812002166,卫生技术人员开展医疗卫生技术活动时未佩带有本人姓名、照片、职务或者技术职称的标牌案,2017-08-16,,,
300241,201812002168,对医疗机构安排未经职业健康检查的劳动者、有职业禁忌的劳动者、未成年工或者孕期、哺乳期女职工从事放射工作的处罚,2017-04-28,,,
300242,深卫医[2018]8号,对医疗机构未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作的行为进行处罚,2018-10-23,,,
300243,201806002223-01,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-10-26,,,
300244,深卫医[2018]74号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-19,,,
300245,深卫医[2018]76号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-07,,,
300246,深卫医[2018]84号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-08,,,
300247,201705001458-01,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-14,,,
300248,深宝卫放[2017]1号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-08-24,,,
300249,201801001198,对建设单位未按照规定进行职业病危害预评价或者未提交职业病危害预评价报告，或者职业病危害预评价报告未经卫生行政部门审核同意，开工建设的违法行为进行处罚,2017-05-22,,,
300250,201801001199,　对医疗卫生机构工作人员未接受消毒技术培训、掌握消毒知识，并按规定严格执行消毒隔离制度的处罚。,2018-05-03,,,
300251,201801001196,对医疗卫生机构贮存设施或者设备不符合环境保护、卫生要求的处罚。,2018-10-30,,,
300252,深宝卫放[2018]06B-1号,对接种单位接种疫苗未遵守预防接种工作规范、免疫程序、疫苗使用指导原则、接种方案的行政处罚。,2018-11-22,,,
300253,201812002162,医疗机构其他未按照规定书写病历案,2018-08-10,,,
300254,201812002164,对疾病预防控制机构未依照规定建立并保存疫苗购进、分发、供应记录的行政处罚。,2018-09-04,,,
300255,201806C02321-01,对接种单位未依照规定建立并保存真实、完整的疫苗接收或者购进记录的行政处罚。,2018-09-05,,,
300256,201806C02322-01,对预防接种单位未依照规定对接种疫苗的情况进行登记并报告的行政处罚。,2018-09-05,,,
300257,201806D02258-01,对实施预防接种的医疗卫生人员未依照规定填写并保存接种记录的行政处罚。,2018-08-23,,,
300258,201806002199-01,医疗机构诱使患者接受诊疗案,2018-09-30,,,
300259,20170500521-01,对医疗机构使用卫生技术人员开展注册专业以外的医疗卫生技术活动违法行为进行处罚,2017-07-11,,,
300260,201705002665-01,接种疫苗未遵守预防接种工作规范,2016-08-29,,,
300261,深龙华卫传[2018]11-29号,对接种单位未在其接种场所的显著位置公示第一类疫苗的品种和接种方法的行政处罚。,2018-08-27,,,
300262,201812002175,对预防接种单位未依照规定对接种疫苗的情况进行登记并报告的行政处罚。,2018-11-07,,,
300263,深卫医[2018]67号,对医疗机构使用已取得医师执业证书但未注册或者备案在本医疗机构的医师开展执业活动违法行为进行处罚,2018-11-28,,,
